N.B	EH N B
AKAMAI	AE K AH M EY
VARI-HUED	V AA R IY HH Y UW D
MOTOR-LIKE	M OW T ER L AY K
WAKENED-UP	W EY K AH N D AH P
CYCLOPEDIA	S IH K L AH P IY D IY AH
AVENGING-TYPE	AH V EH N JH IH NG T AY P
CONJOINS	K AH N JH OY N Z
BAG-PACKING	B AE G P AE K IH NG
HUMPBACKS	HH AH M P B AE K S
OLD-TIMER'S	OW L D T AY M ER Z
DOPED-UP	D OW P T AH P
WORST-OUTCOME	W ER S T AW T K AH M
6-PAKS	S IH K S P AE K S
LOUNGERS	L AW N JH ER Z
BARRACUDA'S	B EH R AH K UW D AH Z
I'VE-BEEN-THERE-AND-DONE-DONE-DONE-THAT	AY V B IH N DH EH R AH N D D AH N D AH N D AH N DH AE T
TREAD-BARE	T R EH D B EH R
OFF-OF-THE-VINE	AO F AH V DH AH V AY N
READY-TO-EAT	R EH D IY T UW IY T
MIDAS'S	M AY D AH S IX Z
WHEELING-AND-DEALING-TYPE	W IY L IH NG AH N D D IY L IH NG T AY P
LOCKED-UP	L AA K T AH P
ERRATUM	EH R AH T AH M
ASTROTURF'S	AE S T R OW T ER F S
HEEERE	HH IY AH R
WELL...APPROXIMATE	W EH L AH P R AA K S AH M AH T
ON-THE-DOT	AA N DH AH D AA T
NOT...ER...QUITE	N AA T EH R K W AY T
THOUGHT...SO	TH AO T S OW
AILUROPHILIA	EY L AH R AH F IH L Y AH
BLIGHTING	B L AY T IH NG
HEEL'S	HH IY L Z
NEAR-DYING	N IH R D AY IH NG
JC'S	JH EY S IY S
SUMP'N	S AH M P N
BEEFBURGER	B IY F B ER G ER
BANYANS	B AE N AY AH N Z
BA-A-D	B AA EY D IY
KERCHOO	K AH R CH UW
RINSE-CYCLE	R IH N S S AY K AH L
CELADON'S	S EH L AH D AA N Z
BALLYHOO'S	B AE L IY HH UW Z
DOWNFALL'S	D AW N F AO L Z
TRANSFIGURED	T R AE N S F IH G Y ER D
CONFLAGRATION'S	K AA N F L AH G R EY SH AH N Z
ARSON'S	AA R S AH N Z
FIREBUG'S	F AY ER B AH G Z
MOP-TOP	M AA P T AA P
OUT-LIMERICKED	AW T L IH M AH R IH K T
OUT-LEARED	AW T L IY R D
ADAGIOS	AH D AA ZH IY OW Z
CART'S	K AA R TS
GUT-FELT	G AH T F EH L T
A-CROWING	EY K R OW IH NG
DEEP-ENDER	D IY P EH N D ER
CARDPLAYING	K AA R D P L EY IH NG
FORTH'S	F AO R TH S
U2'S	Y UW T UW L EH T AH R EH S
FLUTTERBY	F L AH T ER B AY
CAREGIVER'S	K EH R G IH V ER Z
EVIDENCE...BLACK	EH V AH D AH N S B L AE K
SUPER-RICH	S UW P ER R IH CH
HAVE-NOTS	HH AE V N AA T S
SPOT-LIT	S P AA T L IH T
GAWKED	G AO K T
_	
TANK-FILLING	T AE NG K F IH L IH NG
ARMANI'S	AA R M AA N IY Z
CERULEAN'S	S AH R UW L IY AH N Z
SECONDISH	S EH K AH N D IH SH
OF-WORD	AH V W ER D
JIM-DANDY	JH IH M D AE N D IY
FIDDLE-DEE	F IH D AH L D IY
A-TASKET	EY T AE S AH T
WAKING-UP	W EY K IH NG AH P
THINGS'LL	TH IH NG Z L
POETASTERS	P OW AH T AE S T ER Z
SONGBOOK'S	S AO N G B UH K S
THRILLINGLY	TH R IH L IH NG L IY
BALLETOMANES	B AE L EH T AH M EY N Z
HEFTING	HH EH F T IH NG
CADAVER'S	K AH D AE V ER Z
CONTRIVES	K AH N T R AY V Z
WORDIEST	W ER D IY AH S T
DOPPELGANGER	D AA P EH L G AH NG AH R
BOY-FUL	B OY F AH L
PURRRFECT	P AH R F AH K T
HALLELU	HH AE L AH L UW
BLAH'S	B L AA Z
LESSEN'S	L EH S AH N Z
LAUND'RING	L AO N D R AH NG
CANTALOUP	K AE N T AH L UW P
HOMOPHOBES	HH AA M AH F OW B Z
UNSHEARED	AH N SH IH ER D
HIRSUTENESS	HH AH R S UW T N AH S
PANDA'S	P AE N D AH Z
BABY-BOOMER	B EY B IY B UW M ER
FAUX-AVUNCULAR	F OW AH V AH NG K Y AH L ER
DOM'S	D AA M Z
UNCLE-Y	AH NG K AH L W AY
ACUSHNET	AH K AH SH N AH T
G.A.N	JH IY EY N
BEDLAM'S	B EH D L AH M Z
UDDA	AH D AH
BOIDS	B OY D Z
CLOWN'S	K L AW N Z
OVERBUYING	OW V ER B AY IH NG
BUSINESS-AS-USUAL	B IH Z N AH S AE Z Y UW ZH AH W AH L
DAZZLIN	D AE Z L AH N
RETHA	R AH TH AA
LUMP'S	L AH M P S
WHOOP-DEE-DOOS	W UW P D IY D UW AA S
FOLK'RE	F OW K R
CTS	S IY T IY S
LEAVE'S	L IY V Z
CARROT-TOP'S	K AE R AH T T AA P S
WAILFUL	W EY L F AH L
JAILFUL	JH EY L F AH L
MOMENTOUSLY	M OW M EH N T AH S L IY
TEEN'S	T IY N Z
GLOSSING	G L AO S IH NG
WIND-UP	W AY N D AH P
FLINGERS	F L IH NG ER Z
SLINGERS	S L IH NG ER Z
EVINCING	IH V IH N S IH NG
DIE-WAYS	D AY W EY Z
ACCOMPLISHMENT'S	AH K AA M P L IH SH M AH N TS
CEREAL-MILK	S IH R IY AH L M IH L K
ASPHYXI	AE S IH K S IY
ZONKED	Z AO NG K T
OUT-OF-SIGHT	AW T AH V S AY T
IN-THE-SKYING	IH N DH AH S K AY IH NG
BLOWIN	B L OW IH N
OO-BLA-DEE	UW B L AA D IY
BO-DEE-OH	B OW D IY OW
EEEK	IY AH K
STEEL-LIKE	S T IY L L AY K
BOTTLENECK'S	B AA T AH L N EH K S
CHEEZ	CH IY Z
DANGLY	D AE NG G AH L IY
CLIFFSNOTES	K L IH F S N OW T S
FIERY-TAILED	F AY ER IY T EY L D
BRIGHT-BEAMED	B R AY T B IY M D
ASPIRATION'S	AE S P ER EY SH AH N Z
TRICKY-DICK	T R IH K IY D IH K
AKASHA'S	AE K AH SH AH Z
SHILLY-SHALLYING	SH IH L IY SH AE L AY AH NG
PALLYING	P AE L IY IH NG
TOTTED	T AA T IH D
SELF-PRINTED	S EH L F P R IH N T AH D
NAYINGS	N EY IH NG Z
BARBARITY'S	B AA R B AE R AH T IY Z
AM(SWOOSH!)PERSAND	AE M S W UW SH P ER S AE N D
LOVERLY	L AH V ER L IY
THUMPIN	TH AH M P IH N
REET	R IY EH T
BOO-BOOS	B UW B UW Z
STOP-GAPS	S T AA P G AE P S
AHMADINIJAD'S	AE M AH D IH N AH JH AH D Z
KARMIC	K AA R M AH K
BIRDLAND	B ER D L AE N D
HEP-CATS	HH EH P K AE T S
LAUGH-INSPIRING	L AE F IH N S P AY R IH NG
HIGH-JINKS	HH AY JH IH NG K S
OKEY-DOKING	OW K IY D UW K IH NG
BOW-LEGS	B AW L EH G Z
E-GEAR	IY G IH R
CAD'S	K AE D Z
NEGATIVE'S	N EH G AH T IH V Z
SIDE-TRACKING	S AY D T R AE K IH NG
YES-CHOOSER	Y EH S CH UW Z ER
AVANTGARDE	AH V AE N T G AH R D
I'LI	IH L IY
SOFT-SOAPY	S AA F T S OW P IY
WHIRR	W AH R
NUALIZED	N Y UW AH L AY Z D
CASANOVA'S	K AE S AH N OW V AA Z
OVER-UTILIZED	OW V ER Y UW T AH L AY Z D
BILLS...AND	B IH L Z AE N D
NOCTURNE'S	N AA K T ER N Z
DUSTIN'S	D AH S T IH N Z
TWO-SHELLED	T UW SH EH L D
HEARTLESSLY	HH AA R T L AH S L IY
BLABBERMOUTHS	B L AE B ER M AW TH S
OUTSTRETCHING	AW T S T R EH CH IH NG
CHAMPION-SIRING	CH AE M P IY AH N S AY ER IH NG
FOD	F AA D
ATROCITY'S	AH T R AA S AH T IY Z
GOYNG	G OY NG
ASSIMIRIRATE	AE S IH M IH R AY R EY T
SPIK	S P IH K
ENGWISH	EH N G W AH SH
WIW	W IH W
WOHK	W AA K
REEW	R IY Y UW
AMELICAN	AE M AH L IH S AH N
PROPULSIVE	P R OW P AH L S IH V
GAZILLIONAIRES	G AH Z IH L IY AA N AH AH R Z
THERE'S-MORE-WHENCE-THAT-CAME	DH EH R Z M AO R W EH N S DH AE T K EY M
GOONINESS	G OW AO N IY N AH S
CHOCOLATED	CH AA K L AH T IH D
GLAMMED	G L AE M D
DRUTHER	D R AH DH AH R
PLAGUE'S	P L EY G Z
SEX-INDUCED	S EH K S IH N D UW S T
GLADDENING	G L AE D AH N IH NG
BURJ	B AH R JH
CRITIQUING'S	K R IH T IY K IH NG Z
UNBANKABLE	AH N B AE NG K AH B AH L
PISSED-OFF	P IH S T AO F
WANNA-BE	W AA N AH B IY
SLUGGABLE	S L AH G AH B AH L
SHADES-OF-GRAY	SH EY D Z AH V G R EY
BRYNNER	B R IH N AH R
BOOO	B UW OW
FLOP'S	F L AA P S
BAMBI'S	B AE M B IY Z
FUDDY-DUD	F AH D IY D AH D
EVENTFULLY	IH V EH N T F AH L IY
BRIDLE"'S	B R AY D AH L S
BURB	B AH R B
MISERY'S	M IH Z ER IY Z
CONCERT-GOERS	K AA N S ER T G OW ER Z
WIND-SPILLERS	W AY N D S P IH L ER Z
TALON-TED	T AE L AH N T EH D
PLASTIC-BASED	P L AE S T IH K B EY S T
OIL-BASED	OY L B EY S T
JOUNCED	JH AW N S T
JIVED	JH AY V D
UNCOUTHFUL	AH N K OW AH TH AH L
DIS-EASE	D IH S IY Z
WHOOPERS	W UW P ER Z
ACCELE-WHOOSH!-RATED	AE K S IY L W UW SH R EY T AH D
APPERCEPTION'S	AE P AH R S EH P T IY AH N Z
WELLSPRINGS	W EH L S P R IH NG Z
RINGING-OUT	R IH NG IH NG AW T
BAIT'S	B EY TS
ESPRESSO'S	EH S P R EH S OW Z
LATTE'S	L AA T EY Z
BASHIST	B AE SH AH S T
TRASHIST	T R AE SH IH S T
BAB-BABBLING-DEE-DILLED	B AE B B AE B AH L IH NG D IY D IH L D
RK'S	AA R K EY S
BERNANKE	B IH R N AE NG K
BANKIE	B AE NG K IY
GRUMPED	G R AH M P T
FILTHILY	F IH L TH IY L IY
BRIN'S	B R IH N Z
COOLY	K UW L IY
HEISTS	HH AY S T S
PETTY-CRIME	P EH T IY K R AY M
TOE-JAM	T OW JH AE M
ACAPULCO'S	AE K AH P UH L K OW Z
ADVISORY'S	AE D V AY Z ER IY Z
CO-FOUNDED	K OW F AW N D IH D
ENRAPT	EH N R AE P T
DYSON'S	D AY S AH N Z
HOMOPHOBIA'S	HH OW M AH F OW B IY AH Z
PALANI	P AE L AH N IY
HARD-NOSED	HH AA R D N OW Z D
HIGH-RISER	HH AY R AY Z ER
BIRD-BRAINED	B ER D B R EY N D
DIVINA'S	D IH V AH N AH Z
LRA	L R AA
COPLAND'S	K AA P L AH N D Z
DESSICATION	D EH S AH S EY SH AH N
PARCHING	P AA R CH IH NG
GHADAFFI'S	G AH D AE F AH Z
GOOD-TIME	G UH D T AY M
TRI-LIKE	T R AY L AY K
OED'S	OW AH D Z
RIGHT-LANGUAGE-USE	R AY T L AE NG G W AH JH Y UW S
DEBT-RIDDEN	D EH T R IH D AH N
SAD'S	S AE D Z
COMFY-COOL	K AH M F IY K UW L
AFLIGHT	AH F L AY T
SUPER-STAR	S UW P ER S T AA R
NOTHIN'S	N AA TH IH N Z
ACING	EY S IH NG
DIFFS	D IH F S
LOBBYING'S	L AA B IY IH NG Z
BROAD-BASED	B R AO D B EY S T
UNCHASTE	AH N CH EY S T
GULP-TED	G AH L P T EH D
AK-47S	AE K F OW R S EH V AH N EH S
CINEASTS	S AH N IY S T S
AUWE	AO W
G'WAN	G W AA N
DRUG-LORDS	D R AH G L AO R D Z
FLOOD'S	F L AH D Z
TRICOLOR	T R AY K AH L ER
SHOUT-OUT	SH AW T AW T
SLEEZE	S L IY Z
ACTIVISM'S	AE K T IH V IH Z AH M Z
AGRAFFE	AE G R AH F
MUSSY	M AH S IY
ARDOR'S	AA R D ER Z
ALBIZZIAS	AE L B IH Z IY AH Z
CLOSA	K L AA S AH
ATTITUD'NALLY	AE T AH T AH D N AE L IY
ONE-HORNED	W AH N HH AO R N D
AVERAGE-JOE	AE V ER IH JH JH OW
WOOLSORTERS	W UH L S AO R T ER Z
EAVEN	IY V AH N
ROOMIES	R UW M IY Z
SHUSHED	SH AH SH T
HOOTCH	HH UW CH
ALTITUDINOUS	AE L T AH T Y UW D AH N AH S
BEACH-FRONTED	B IY CH F R AH N T IH D
MANSION'S	M AE N SH AH N Z
LOFTINESS	L AO F T IY N AH S
STUCK-UPPITY	S T AH K AH P AH T IY
FUGGEDDIT	F AH JH EH D AH T
AUTOMATS	AO T OW M AE T S
BEACHHOUSE	B IY CH HH AW S
TRANSGENDERED	T R AE N S JH EH N D ER D
S/HE	S HH IY
EIGHT-TRACKS	EY T T R AE K S
NINETY-POUND	N AY N T IY P AW N D
AQUARELLE'S	AE K W AH R EH L AH Z
METEORITES	M IY T IY AH R AY T S
HISTRIONICALLY	HH AY Z T R IY OW N AY S AH L IY
ACTRESSY	AE K T R AH S IY
EROGENIC	EH R AH JH AH N AH K
GOYAS	G OY AH Z
ACUPUNCTURIST	AE K Y AH P AH NG K T Y AH R AH S T
LUKEWARMS	L UW K W AO R M Z
NAMINGS	N EY M IH NG Z
PLEIONE	P L IY OW N
NOWS	N AW Z
ARUBA'S	ER UW B AH Z
TRADEWINDS	T R EY D W IH N D Z
RAT-TAT-A-TAT	R AE T T AE T EY T AE T
WIELDIN	W IY L D IH N
RULIN	R UW L AH N
CANARDS	K AE N AH R D Z
WHEELER-DEALER	W IY L ER D IY L ER
S'MORES	S M AO R Z
AEROPHYTES	EH R AH F AY T S
TILLANDSIA'S	T IH L AE N D S IY AH Z
HMMM	EY CH EH M EH M
PAMPA	P AE M P AH
AZUSA'S	AH Z UW S AH Z
ALSTROEMERIA	AE L S T R OW AH M IY R IY AH
MIGRAINE'S	M AY G R EY N Z
GIRL-TO-BOY	G ER L T UW B OY
UNDERFINANCING	AH N D ER F AH N AE N S IH NG
MOTTLE	M AA T AH L
ALGOLOGIST	AE L G AA L AH JH AH S T
BACKSTABBINGS	B AE K S T AE B IH NG Z
ACRYLAMIDE'S	AE K R AH L AH M AY D AH Z
AMMA'S	AE M AH Z
FRUITED	F R UW T IH D
MONOGRAM'S	M AA N AH G R AE M Z
AZELAIC'S	AH Z EH L EY AH S Z
ACER'S	EY S ER Z
ABSCISIC'S	AE B S AH Z AH S Z
ACROSCOPIC	AE K R AA S AH P AH K
SPRAYING'S	S P R EY IH NG Z
REPAVE	R IY P EY V
INGENUES	IH N JH EH N Y UW S
HAND-IN-GLOVED	HH AE N D IH N G L AH V D
BADWATER'S	B AE D W AO T ER Z
MADDEST	M AE D AH S T
ASPECT'S	AE S P EH K TS
PESTO	P EH S T OW
BASAL'S	B EY S AH L Z
R-RATEDS	AA R R EY T IH D Z
LG	EH L G
SWM'S	EH S D AH B AH L Y UW EH M S
BLU	B L UW
BARE-ROOT	B EH R R UW T
ROAD-RAGEOUS	R OW D R EY JH AH S
BASSINET'S	B AE S AH N EH T S
BALCONET	B IY AH L K OW N EH T
HARDHEARTED	HH AA R D HH AA R T IH D
DURINGS	D Y UH R IH NG Z
BEFORES	B IH F OW R Z
RE-PRIME	R EY P R AY M
ASTARTE	AE S T AH R T
DA-DA-DA-DUM	D AA D AA D AA D AH M
CINNAMON-SUGAR	S IH N AH M AH N SH UH G ER
KUCHNE	K AH K N
BLUISH-GREENA	B L UW IH SH G R IY N AH
AERUGINOUS	AH R UW JH AH N AH S
CUISINA	K UW S AH N AH
APPREHENDS	AE P R IH HH EH N D Z
CAT"'S	K AE T S
BETOKEN	B IH T OW K AH N
STYLIST'S	S T AY L IH S TS
MOM-WARNED-US-BUT-WE-DIDN'T-CARE	M AA M W AO R N D AH S B AH T W IY D IH D AH N T K EH R
BAITFISH	B EY T F IH SH
MUSAS	M Y UW S AH Z
NO-THRILLS	N OW TH R IH L Z
HAND-CREATED	HH AE N D K R IY EY T AH D
PLUNDERIN	P L AH N D ER IH N
AGRODOLCE	AE G R AH D OW L S
SOUR-SWEET	S AW ER S W IY T
BROWN-NOSE	B R AW N N OW Z
POWER-OBSESSED	P AW ER AH B S EH S T
DIALUP	D AY AH L AH P
STARCROSSED	S T AA R K R AO S T
BABY-KISSERS	B EY B IY K IH S ER Z
VOTE-GETTERS	V OW T G EH T ER Z
BEHOOVEN	B IH HH UW V AH N
BSA	B S AA
ADAPTOGEN	AH D AE P T AH JH AH N
SAUSAGE-PRODUCING	S AO S AH JH P R AH D UW S IH NG
BYPAST	B AY P AE S T
SNACKFOOD	S N AE K F UW D
ASSEMBLAGES	AH S EH M B L IH JH IH Z
FAST-SHRINKING	F AE S T SH R IH NG K IH NG
NO-TAX	N OW T AE K S
PERTISES	P ER T IY Z IH Z
BACKFILL	B AE K F IH L
ZEV'S	Z EH V Z
BYOB	B AY AH B
ATAVISTICALLY	AE T AH V IH S T IH K AH L IY
V.P.'S	V IY P IY S
AL-SIRAT	AE L S IH R AH T
RAZOR-THIN	R EY Z ER TH IH N
BELOW'S	B IH L OW Z
POLLOCK'S	P AA L AH K S
FOUR-TO-ONE	F AO R T UW W AH N
ACHOOED	AH CH UW D
NONREPRESENTATIONAL	N AA N R EH P R IH Z EH N T EY SH AH N AH L
BRAUNSCHWEIGER	B R AO N S W EY JH AH R
LIVERWURST	L AH V AH R W AH R S T
OKAYISH	AA K EY AH SH
BACKHANDEDLY	B AE K HH AE N D AH D L IY
SUGAR-CINNAMON-TOPPED	SH UH G ER S IH N AH M AH N T AA P T
BSTILLA	B S T IH L AH
BIOSCIENTISTS	B AY AA S IY N T AH S T S
HIMALAYANS	HH AH M AE L EY AH N Z
YETI'S	Y EH T IY Z
DECONSTRUCTION'S	D IY K AH N S T R AH K SH AH N Z
UN-BLAND	AH N B L AE N D
ANAGLYPTA	AE N AH G L IH P T AH
ANGUSTIFOLIAS	AE N G AH S T AH F OW L Y AH Z
KRAZY	K R EY Z IY
UNSTICKS'D	AH N S T IH K S D
UNREVEALING	AH N R IH V IY L IH NG
SHI'ITES	SH AH AY T S
KARBALA'S	K AA R B AH L AH Z
ARBAYEEN	AA R B EY IY AH N
SEED"'S	S IY D S
ONE-SEEDED	W AH N S IY D AH D
BAYA'S	B EY AH Z
ANTONINIANUS	AE N T AH N AH N IY AH N AH S
BRUNOISE	B R UW N OY Z
BISPHOSPHONATE	B AY S AA S AH N EY T
RX'S	AA R EH K S
AIRBRICKS	AH IH R B R IH K S
AGGRAVATED'S	AE G R AH V EY T IH D Z
SPINSTERS	S P IH N S T ER Z
RING-FINGER	R IH NG F IH NG G ER
AFTRA	AE F T R AH
YAKS	Y AE K S
ASCENTS	AH S EH N T S
BANDY-LEGGED	B AE N D IY L EH G AH D
SEEDHEADS	S IY D HH EH D Z
ASPIC'S	AE S AH S Z
ALL-TOO-BRIEF	AO L T UW B R IY F
ALBYN	AE L B AH N
BRAIN-TEASER	B R EY N T IY Z ER
BEGATTING	B AH G AE T AH NG
ARMERIA	AA R M IY R IY AH
TACTILITY'S	T AE K T AY L AH T IY Z
BARELEGGEDLY	B EH R L EH G AH D L IY
BEACHGOING	B IY CH G OW IH NG
BEANPOLE	B IY N P OW L
PASTIES	P EY S T IY Z
51	F AY V W AH N
SKYSCRAPER'S	S K AY S K R EY P ER Z
BATOPHOBIA	B AE T AH F OW B IY AH
BAROPHOBIC	B AE R AH F AH B AH K
BLUEFISH	B L UW F IH SH
ASPERULATE	AE S EH R AH L EY T
ALLITERATIVELY	AH L IH T AH R EY T IH V L IY
A380'S	EY TH R IY EY T Z IY R OW L EH T AH R EH S
SUPERJUMBO	S UW P AH R JH AH M B OW
AND...(I	AE N D AY
HAMMING	HH AE M IH NG
JUNQUE	JH AH NG K W
TWENTYFOLD	T W EH N T IY F OW L D
WOODEN-LIMBED	W UH D AH N L IH M D
BUNRAKU'S	B AH N R AH K AH Z
UPKEEP'S	AH P K IY P S
MUMSIE	M AH M Z IY
BAYAH	B EY AH
NO-CAN-DO	N OW K AE N D UW
QUIRK'S	K W ER K S
SCREW"'S	S K R UW S
GARBS	G AA R B Z
REMARK'S	R IH M AA R K S
BULKED	B AH L K T
CACONYMS	K AE K AH N AH M Z
BERBER'S	B ER B ER Z
SHEAR-WIELDING	SH IH R W IY L D IH NG
CAPUCCINO'S	K AH P AH K S AH N AH Z
STUNT'S	S T AH N TS
BAISAKHI	B EY S AE K IY
PAN-ARAB	P AE N AE R AH B
AGORAPHOBICALLY	AH G OW R AE P HH AA B IH K AH L IY
COOKOFF	K UH K AO F
SASANQUAS	S AH S AE NG K W AH Z
JAPONICAS	JH AH P AA N AH K AH Z
SAM'LL	S AE M L
CAULKS	K AO K S
ALLITERATES	AH L IH T AH R EY T S
ABOVE-THE-LINE	AH B AH V DH AH L AY N
BELOW-THE-LINE	B IH L OW DH AH L AY N
WAHB'S	W AA B Z
BONG-BONG-BONG	B AA NG B AA NG B AA NG
BOING	B OW AH NG
EMERGING'S	IH M ER JH IH NG Z
ASHAWAGANDHA	AE SH AH AH G AE N D HH AH
AYURVEDICS	EY AH R V AH D AH S Z
APERITIFS	AH P EH R AH T AH F S
A(N	AH N
TRUTHWISE	T R UW TH W AY Z
CHERIMOYAS	CH AH R IH M OY AH Z
DAYTRIPPING	D EY T R IH P IH NG
CHESTNUT'S	CH EH S N AH TS
NUT-BEARING	N AH T B EH R IH NG
RUED	R UW D
CHIMICHURRI	CH IH M AH CH AH R IY
ALLEY-OOPS	AE L IY UW P S
RAY-BAN'S	R EY B AE N Z
UNPOWERED	AH N P AW ER D
BARYSPHERE	B IY EH R IY S F IH ER
ALBARI	AE L B AH R IY
BALL-BOUNCING	B AO L B AW N S IH NG
BESPANGLE	B IH S P AE NG G AH L
CHLOROTIC	K L AO R AH T AH K
PHOTOSYNTHESIZE	F OW T OW S IH N TH AH S AY Z
BANGI'S	B AE NG IY Z
BATTI	B AE T IY
PRECIEUX	P R IY S Y UW K S
CONDOM'D	K AA N D AH M D
BY-ELECTIONS	B AY IH L EH K SH AH N Z
UNROUTINE	AH N R UW T IY N
ABAYUDAYANS	AE B EY UW D EY AH N Z
UN-YANKABLE	AH N Y AE NG K AH B AH L
EMERALD-CUT	EH M R AH L D K AH T
CHIHULY	CH IH HH Y AH L IY
CHANTOOSIE	CH AE N T UW S AY
CAPGRAS	K AE P G R AH Z
ONCE-SANE	W AH N S S EY N
GROUPIE'S	G R UW P IY Z
LIP-SYNCED	L IH P S IH N S T
PAY-FOR-PLAY	P EY F AO R P L EY
GRASSLESS	G R AE S L AH S
GASLESS	G AE S L AH S
BACK-TO-SCHOOL-GOER	B AE K T UW S K UW L G OW ER
CHAEBOL'S	CH EY B AH L Z
BREBA	B R EH B AH
CHUCKWALLA	CH AH K W AA L AH
CHUCKAWALLA	CH AH K AH AE L AH
CARBRO	K AA R B R OW
CRABCAKES	K R AE B K EY K S
BACKFIN	B AE K F IH N
BLOWBACK'S	B L OW B AE K S
CHILAQUILES	CH AH L AE K W AH L Z
BREAKFAST...WHY	B R EH K F AH S T W AY
SIX-YEAR-OLDS	S IH K S Y IH R OW L D Z
UNAMUSED	AH N AH M Y UW Z D
BACK-ORDERED	B AE K AO R D ER D
CHINOISERIE	CH IH N OY S IY R AY
SQUOOSH	S K W UW SH
ALLERGEN'S	AE L ER JH AH N Z
ANTI-MEN	AE N T IY M EH N
DI'NT	D IH N T
APPETITE-COSTING	AE P AH T AY T K AO S T IH NG
HAIR-LOSING	HH EH R L UW Z IH NG
LIP-SMACKING	L IH P S M AE K IH NG
FLEETIN	F L IY T IH N
SNARF	S N AA R F
CACHA	K AE CH AH
CAIPIRINHA	K EY P AH R IH N HH AH
CARATAGE	K EH R AH T IH JH
CHINOIS	CH IH N OW AH S
PUREEING	P Y UH R IH NG
CHEESEMAKERS	CH IY Z M EY K ER Z
BLET	B L EH T
BLETTING	B L EH T AH NG
CHEONGSAM	CH IY AA N G S AH M
BANDAIDS	B AE N D EY D Z
PARTICIPIAL	P AA R T IH S AH P IY AH L
BRUISIN	B R UW S AH N
B-Z-Z	B IY Z IY Z IY
BZZ	B IY Z IY Z
CYCLOTHYMIA'S	S IH K L AH TH IH M IY AH Z
GNP	JH IY EH N P
DACTYLOGRAPHERS	D AE K T AH L AA G R AH F AH R Z
WOOIN	W UW IH N
DIESEL'S	D IY S AH L Z
ACTUARIALLY	AE K CH AH W EH R IY AH L IY
TSKS	T IY EH S K EY S
BAG-WIG	B AE G W IH G
ANKLED	AE NG K AH L D
ANTIPROLIFERATION	AE N T AY P R AH L IH F ER EY SH AH N
CAVERNOSA	K AH V AH R N AH S AH
CHOPSOCKY	CH AA P S AA K IY
MUST-SEE	M AH S T S IY
SCHMUCK'S	SH M AH K S
ASTRAPHOBIC	AH S T R AE P HH AA B IH K
LEASTWISE	L IY S T W AY Z
WINDOWSILL	W IH N D OW S IH L
AEONIUM	EH OW N IY AH M
PELARGONIUM	P EH L AH R G OW N IY AH M
BOLDFACE-NAME	B OW L D F EY S N EY M
MAYONNAISE-SMEARED	M EY AH N EY Z S M IH R D
ADENOPHORUS	AE D AH N AA F AH R AH S
MUSTANG'S	M AH S T AE NG Z
ABSTINENTLY	AE B S T AH N EH N T L IY
DAD-BLASTED	D AE D B L AE S T AH D
MARC'S	M AA R K S
OPHIOLOGIST	AH F IY AA L AH JH AH S T
UN-JAW	AH N JH AO
CHUS	CH AH Z
CHUVILLE	CH UW V AH L
CHANTILLY'S	SH AE N T IH L IY Z
CANISTEL	K AH N IH S T AH L
EGGFRUIT	EH G F R UW T
CAMPECHEAN	K AE M P EH CH IY AH N
NOG'S	N AA G Z
CLOSURE'S	K L OW ZH ER Z
RUMOR-FREE	R UW M ER F R IY
COLDCOCK	K OW L D K AA K
ACTUALIZATION	AE K CH AH W AH L AH Z EY SH AH N
CROAKIN	K R OW K IH N
ALL-ONE	AO L W AH N
SUSTAINABLY	S AH S T EY N AH B L IY
GO-GETTERS	G OW G EH T ER Z
MIND-SPACE	M AY N D S P EY S
@REPLY	R IH P L AY
SOUPE	S UW P
VEAU	V IY UW
UNBLANQUETTEABLE	AH N B L AE NG K W EH T IY AH B AH L
ALBACORE'S	AE L B AH K AO R Z
ECTOPLASMICALLY	EH K T AH P L AE Z M AH K AE L IY
E-A-T	IY EY T IY
BLEEPED]-UP	B L IY P T AH P
LIP-SYNC	L IH P S IH NG K
AGAVES	AH G EY V Z
BGAS	B G AE Z
MOUSEKETEER	M AW S AH K AH T IH R
AMBELOPOULIA	AE M B AH L AH P AW L Y AH
BATHYSIDERODROMOPHOBE	B AH TH AH S AH D AH R AA D R AA M AH F OW B
BROTHAS	B R AA TH AH Z
TOO-TRUSTING	T UW T R AH S T IH NG
CATFISHED	K AE T F IH SH T
CLICKBAIT'S	K L IH K B EY TS
TIME-SUCKING	T AY M S AH K IH NG
FLASKED	F L AE S K T
CASKED	K AE S K T
ALIENATOR	EY L IY AH N AH T ER
ESTRANGES	IH S T R EY N JH IH Z
UNIBROWED	Y UW N IH B R AW D
QUIRK'LL	K W ER K L
SONICATES	S AA N IH K AH T S
BRIGHT-LINE	B R AY T L AY N
AMNESIACS	AE M N IY S IY AH S
NITWITS	N IH T W AH T S
OP-EDS	AA P EH D Z
KENTS	K EH N T S
GOLD-AND-RED	G OW L D AH N D R EH D
CAESALPINIA	K IY S AH L P IH N Y AH
ORATIONWISE	AH R EY SH AH N W AY Z
FRIGHT'S	F R AY TS
SLUSHIES	S L AH SH AY Z
CUKE	K Y UW K
CALL-AND-RESPONSE	K AO L AH N D R IH S P AA N S
MILLENNIA'S	M AH L EH N IY AH Z
LOOKIE	L UH K IY
RAELETTES	R IY L EH T S
VAMPED	V AE M P T
CELEXA	S AH L EH K S AH
